"Direccion IP","Pais de la IP",Servidor,Count
"157.100.192.50",Ecuador,"USL-SVSFTP-P01",31
"10.255.73.4","IP Local","USL-SVSFTP-P01",29
"10.255.25.1","IP Local","USL-SVSFTP-P01",26
"10.255.65.64","IP Local","USL-SVSFTP-P01",25
"10.255.33.3","IP Local","USL-SVSFTP-P01",13
"10.255.21.10","IP Local","USL-SVSFTP-P01",12
"10.255.20.1","IP Local","USL-SVSFTP-P01",8
"10.255.27.5","IP Local","USL-SVSFTP-P01",7
"10.255.40.104","IP Local","USL-SVSFTP-P01",5
"10.255.71.56","IP Local","USL-SVSFTP-P01",5
