Usuario,Servidor,Cantidad
lmosquer,"USL-SVSFTP-P01",39
cotaset,"USL-SVSFTP-P01",29
mamaya,"USL-SVSFTP-P01",26
amaciel,"USL-SVSFTP-P01",25
ecando,"USL-SVSFTP-P01",13
bquitio,"USL-SVSFTP-P01",12
root,"USL-SVSFTP-P01",12
jscastro,"USL-SVSFTP-P01",5
cmmartin,"USL-SVSFTP-P01",2
gvillafa,"USL-SVSFTP-P01",2
