Usuario,Servidor,Cantidad
root,"ARL-PROXY-P01",424
root,"USL-SVSFTP-P01",22
bquitio,"USL-SVSFTP-P01",60
amaciel,"USL-SVSFTP-P01",53
jscastro,"USL-SVSFTP-P01",32
mamaya,"USL-SVSFTP-P01",26
sag,"MXL-BATSRT-P01",6
sag,"MXL-BATSRT-P02",2
sag,"USL-SCP-P01",1
salvarez,"USL-SVSFTP-P01",8
earce,"USL-SVSFTP-P01",5
dmoli040,"USL-SCP-P01",3
egartland,"ARL-REPO-P01",3
